gps_sec,ref_vf,obd_speed,ref_vf_sorted,obd_speed_sorted,obd_speed_sorted_smoothed
331955.6,0.0058949130612758,0,0.000804984471899924,0.000804984471899924,0.000804984471899924
331955.8,0.00413400532171888,0,0.000804984471899924,0.000804984471899924,0.000804984471899924
331956,0.00619273768215641,0,0.000804984471899924,0.000804984471899924,0.000804984471899924
331956.2,0.00347994252826106,0,0.000881816307401944,0.000881816307401944,0.000881816307401944
331956.4,0.00223159136044214,0,0.00101823376490863,0.00101823376490863,0.00101823376490863
331956.6,0.00170293863659264,0,0.00108,0.00108,0.00108
331956.8,0.00174928556845359,0,0.00108,0.00108,0.00108
331957,0.000768114574786861,0,0.00108,0.00108,0.00108
331957.2,0.00140356688476182,0,0.00113841995766062,0.00113841995766062,0.00113841995766062
331957.4,0.000824621125123532,0,0.00113841995766062,0.00113841995766062,0.00113841995766062
331957.6,0.000806225774829855,0,0.00129799845916704,0.00129799845916704,0.00129799845916704
331957.8,0.00243721152139079,0,0.00134699665923862,0.00134699665923862,0.00134699665923862
331958,0.00239582971014219,0,0.00148431802522236,0.00148431802522236,0.00148431802522236
331958.2,0.00273313007374329,0,0.00148431802522236,0.00148431802522236,0.00148431802522236
331958.4,0.00356931365951495,0,0.00148431802522236,0.00148431802522236,0.00148431802522236
331958.6,0.0033391615714128,0,0.00148431802522236,0.00148431802522236,0.00148431802522236
331958.8,0.00279642629082191,0,0.00148431802522236,0.00148431802522236,0.00148431802522236
331959,0.00428252262107277,0,0.00152735064736294,0.00152735064736294,0.00152735064736294
331959.2,0.0024454038521275,0,0.00152735064736294,0.00152735064736294,0.00152735064736294
331959.4,0.00212602916254693,0,0.00152735064736294,0.00152735064736294,0.00152735064736294
331959.6,0.00375366487582469,0,0.00156920361967464,0.00156920361967464,0.00156920361967464
331959.8,0.00375366487582469,0,0.0016497272501841,0.0016497272501841,0.0016497272501841
331960,0.00386393581727233,0,0.0016497272501841,0.0016497272501841,0.0016497272501841
331960.2,0.00164012194668567,0,0.0016497272501841,0.0016497272501841,0.0016497272501841
331960.4,0.00220907220343745,0,0.0016497272501841,0.0016497272501841,0.0016497272501841
331960.6,0.00184932420089069,0,0.00168854967353643,0.00168854967353643,0.00168854967353643
331960.8,0.00207364413533277,0,0.0018,0.0018,0.0018
331961,0.0025377155080899,0,0.0018356470248934,0.0018356470248934,0.0018356470248934
331961.2,0.00184661853126194,0,0.0018356470248934,0.0018356470248934,0.0018356470248934
331961.4,0.00320156211871642,0,0.0018356470248934,0.0018356470248934,0.0018356470248934
331961.6,0.00261916017074176,0,0.0018356470248934,0.0018356470248934,0.0018356470248934
331961.8,0.00392428337406972,0,0.0018356470248934,0.0018356470248934,0.0018356470248934
331962,0.00399249295553543,0,0.00187061487217439,0.00187061487217439,0.00187061487217439
331962.2,0.00139283882771841,0,0.00193865933056842,0.00193865933056842,0.00193865933056842
331962.4,0.00223159136044214,0,0.00193865933056842,0.00193865933056842,0.00193865933056842
331962.6,0.00156524758424985,0,0.00193865933056842,0.00193865933056842,0.00193865933056842
331962.8,0.00166733320005331,0,0.00193865933056842,0.00193865933056842,0.00193865933056842
331963,0.00203224014329016,0,0.0019718012070186,0.0019718012070186,0.0019718012070186
331963.2,0.000953939201416946,0,0.0019718012070186,0.0019718012070186,0.0019718012070186
331963.4,0.000836660026534075,0,0.00206804255275369,0.00206804255275369,0.00206804255275369
331963.6,0.00226936114358204,0,0.00206804255275369,0.00206804255275369,0.00206804255275369
331963.8,0.00224722050542442,0,0.00206804255275369,0.00206804255275369,0.00206804255275369
331964,0.00214709105535839,0,0.00209914268214431,0.00209914268214431,0.00209914268214431
331964.2,0.00172046505340853,0,0.00209914268214431,0.00209914268214431,0.00209914268214431
331964.4,0.00145945195193264,0,0.00212978872191586,0.00212978872191586,0.00212978872191586
331964.6,0.00202484567313166,0,0.00212978872191586,0.00212978872191586,0.00212978872191586
331964.8,0.00360693775937429,0,0.00216,0.00216,0.00216
331965,0.00386393581727233,0,0.00216,0.00216,0.00216
331965.2,0.00216794833886788,0,0.00218979451090736,0.00218979451090736,0.00218979451090736
331965.4,0.00289482296522603,0,0.00218979451090736,0.00218979451090736,0.00218979451090736
331965.6,0.00279105714739057,0,0.00221918904106883,0.00221918904106883,0.00221918904106883
331965.8,0.0019131126469709,0,0.00221918904106883,0.00221918904106883,0.00221918904106883
331966,0.00418927201313068,0,0.00221918904106883,0.00221918904106883,0.00221918904106883
331966.2,0.00134536240470737,0,0.00221918904106883,0.00221918904106883,0.00221918904106883
331966.4,0.00147309198626562,0,0.00227683991532123,0.00227683991532123,0.00227683991532123
331966.6,0.00184932420089069,0,0.00230512472547583,0.00230512472547583,0.00230512472547583
331966.8,0.00240624188310319,0,0.00230512472547583,0.00230512472547583,0.00230512472547583
331967,0.00237276210354093,0,0.00230512472547583,0.00230512472547583,0.00230512472547583
331967.2,0.00168819430161341,0,0.00233306665142683,0.00233306665142683,0.00233306665142683
331967.4,0.00246576560118759,0,0.00236067786874872,0.00236067786874872,0.00236067786874872
331967.6,0.00196468827043885,0,0.00236067786874872,0.00236067786874872,0.00236067786874872
331967.8,0.00302324329156619,0,0.00238796984905589,0.00238796984905589,0.00238796984905589
331968,0.00409267638593622,0,0.00241495341569977,0.00241495341569977,0.00241495341569977
331968.2,0.00125299640861417,0,0.00241495341569977,0.00241495341569977,0.00241495341569977
331968.4,0.00177482393492988,0,0.00241495341569977,0.00241495341569977,0.00241495341569977
331968.6,0.00229346898823594,0,0.00241495341569977,0.00241495341569977,0.00241495341569977
