gps_sec,odom_speed
67190.7829989534,0
67190.8490012153,0
67190.9159996401,0
67190.9830079661,0
67191.0490003269,0
67191.1159984767,0
67191.1830068028,0
67191.2489991635,0
67191.3160074895,0
67191.3830056394,0
67191.4489980001,0
67191.5160063262,0
67191.5830044759,0
67191.649007013,0
67191.7160051628,0
67191.7830035876,0
67191.8490058496,0
67191.9160042744,0
67191.9830024242,0
67192.0490049611,0
67192.1160031109,0
67192.1830012609,0
67192.2490037978,0
67192.3160019476,0
67192.3830003725,0
67192.4490026344,0
67192.5160010593,0
67192.5829992091,0
67192.649001746,0
67192.7159998959,0
67192.7829980457,0
67192.8490005826,0
67192.9159987325,0
67192.9830070585,0
67193.0489994193,0
67193.1160077453,0
67193.1830058951,0
67193.2489982559,0
67193.3160065819,0
67193.3830050067,0
67193.4490072687,0
67193.5160056935,0
67193.5830038434,0
67193.6500019932,0
67193.7160045301,0
67193.78300268,0
67193.8500008298,0
67193.9160033668,0
67193.9830015166,0
67194.0499999415,0
67194.1160022034,0
67194.1830006283,0
67194.2499987781,0
67194.316001315,0
67194.3829994649,0
67194.4500077909,0
67194.5160001516,0
67194.5829983015,0
67194.6500066275,0
67194.7159989882,0
67194.7830073143,0
67194.8500054641,0
67194.9159980999,0
67194.9830061509,0
67195.0500045758,0
67195.1160068376,0
67195.1830052625,0
67195.2500034124,0
67195.3160059493,0
67195.3830040991,0
67195.450002249,0
67195.5160047859,0
67195.5830029357,0
67195.6500013606,0
67195.7160036225,0
67195.7830020474,0
67195.8500001972,0
67195.9160027342,0
67195.983000884,0
67196.0499990339,0
67196.1160015708,0
67196.1829997206,0
67196.2499978705,0
67196.3160004074,0
67196.3829985572,0
67196.4500068832,0
67196.515999244,0
67196.58300757,0
67196.6500059949,0
67196.7159983556,0
67196.7830066817,0
67196.8500048315,0
67196.9160073684,0
67196.9830055183,0
67197.0500036681,0
67197.116006205,0
67197.1830043549,0
67197.2500025047,0
67197.3160050416,0
67197.3830031915,0
67197.4500016164,0
67197.5160038783,0
67197.5830023031,0
67197.650000453,0
67197.7169986028,0
67197.7830011398,0
