gps_sec,odom_speed
59650.7569984387,0
59650.8240067647,0
59650.8899991255,0
59650.9570074515,0
59651.0240056014,0
59651.0899979621,0
59651.1570062881,0
59651.224004438,0
59651.2900069749,0
59651.3570051247,0
59651.4240032746,0
59651.4900058115,0
59651.5570039614,0
59651.6240023862,0
59651.6900046481,0
59651.757003073,0
59651.8240012228,0
59651.8900037598,0
59651.9570019096,0
59652.0240000595,0
59652.0900025964,0
59652.1570007462,0
59652.2239991711,0
59652.290001433,0
59652.3569998579,0
59652.4239980077,0
59652.4900005446,0
59652.5569986945,0
59652.6240070205,0
59652.6899993813,0
59652.7570077073,0
59652.8240058571,0
59652.8899982179,0
59652.9570065439,0
59653.0240046937,0
59653.0900072306,0
59653.1570053805,0
59653.2240038054,0
59653.2900060673,0
59653.3570044921,0
59653.424002642,0
59653.4900051789,0
59653.5570033288,0
59653.6240014786,0
59653.6900040155,0
59653.7570021654,0
59653.8240003152,0
59653.8900028521,0
59653.957001002,0
59654.0239994269,0
59654.0900016887,0
59654.1570001136,0
59654.2239982635,0
59654.2900008004,0
59654.3569989502,0
59654.4240072762,0
59654.4910054261,0
59654.557007963,0
59654.6240061129,0
59654.6910042627,0
59654.7570067996,0
59654.8240049495,0
59654.8910033744,0
59654.9570056362,0
59655.0240040611,0
59655.091002211,0
59655.1570047479,0
59655.2240028977,0
59655.2910010476,0
59655.3570035845,0
59655.4240017343,0
59655.4910001592,0
59655.5570024211,0
59655.624000846,0
59655.6909989959,0
59655.7570015328,0
59655.8239996826,0
59655.8910080086,0
59655.9570003694,0
59656.0239985192,0
59656.0910068452,0
59656.156999206,0
59656.224007532,0
59656.2910056819,0
59656.3569980426,0
59656.4240063686,0
59656.4910047935,0
59656.5570070554,0
59656.6240054803,0
59656.6910036301,0
59656.757006167,0
59656.8240043169,0
59656.8910024667,0
59656.9570050036,0
59657.0240031535,0
59657.0910013033,0
59657.1570038403,0
59657.2240019901,0
59657.291000415,0
59657.3570026769,0
59657.4240011018,0
59657.4909992516,0
59657.5570017885,0
59657.6239999384,0
59657.6909980882,0
59657.7570006251,0
59657.823998775,0
59657.891007101,0
59657.9569994617,0
59658.0240077878,0
59658.0910059376,0
59658.1569985734,0
59658.2240066244,0
59658.2910050493,0
59658.3570073111,0
59658.424005736,0
59658.4910038859,0
